country,sic_division,n_segments,scope1_total,scope2_total,scope3_total,scope23_total,scope123_total,share_scope1,share_scope2,share_scope3
PRT,Retail Trade,4,88971.88403320312,330118.7525083225,6.837710884774374e6,7.167829637282697e6,7.2568015213159e6,0.012260481945366691,0.045490944121682544,0.9422485739329507
SGP,Services,6,67686.15575027466,26543.874681778663,735931.3603930699,762475.2350748486,830161.3908251233,0.08153373127001158,0.03197435459555145,0.886491914134437
SGP,"Transportation, Communications, Electric, Gas and Sanitary service",9,639396.2219543457,35937.68330782308,810468.3178066002,846406.0011144233,1.485802223068769e6,0.4303373706318326,0.02418739368527633,0.545475235682891
SWE,Manufacturing,39,6.785383177669299e6,1.3334435195092957e6,1.4426583818184733e7,1.5760027337694028e7,2.254541051536333e7,0.30096516419807356,0.05914478774297034,0.6398900480589561
SWE,Services,10,12741.435990214348,166810.983559592,2.7495641671163393e6,2.9163751506759315e6,2.929116586666146e6,0.004349924495397557,0.05694924685447651,0.9387008286501258
SWE,"Transportation, Communications, Electric, Gas and Sanitary service",14,714284.7090032697,249870.19167824998,5.09079502037882e6,5.34066521205707e6,6.05494992106034e6,0.11796707129134844,0.04126709468052757,0.840765834028124
SWE,Construction,12,178151.62437915802,18916.924430669897,3.309802278991866e6,3.3287192034225357e6,3.5068708278016937e6,0.050800737502736476,0.005394246141232439,0.9438050163560311
SWE,"Finance, Insurance and Real Estate",13,10992.32376819849,14087.417010305035,1.5239273956389406e6,1.5380148126492456e6,1.549007136417444e6,0.007096367414821356,0.00909448167094086,0.9838091509142378
TUR,Manufacturing,11,8.571344031219482e6,618052.6850817787,1.2166455829979794e7,1.2784508515061572e7,2.1355852546281055e7,0.4013580826447554,0.02894067018595366,0.5697012471692909
TUR,"Finance, Insurance and Real Estate",8,33759.50993728638,62717.44129516913,2.0678080037433617e6,2.130525445038531e6,2.1642849549758174e6,0.015598458908874867,0.02897836588060092,0.9554231752105241
TUR,"Transportation, Communications, Electric, Gas and Sanitary service",4,1.487800666015625e6,104483.11915881331,2.0040683956473125e6,2.108551514806126e6,3.596352180821751e6,0.41369715512001637,0.029052527090085867,0.5572503177898978
TWN,Manufacturing,32,2.496512640370035e7,14349.2564932354,9.112199704962435e7,9.11363463061176e7,1.1610147270981795e8,0.2150285075719734,0.00012359237276084937,0.7848479000552657
USA,"Agriculture, Forestry and Fishing",5,1.368760091796875e6,66337.28367078831,3.28286419919613e6,3.349201482866918e6,4.717961574663794e6,0.29011683756547213,0.014060581592489033,0.6958225808420387
