ISO_COUNTRY,SECTOR_CODE,FACTSET_ENTITY_ID,FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,g_S2_EMRIO,g_S23_EMRIO,g_S3_T
AUS,I00053,Others-I00053-S,Others-I00053-S,34372.76953125,63391.99626252463,1.6023798577546312e6,1.5389878614921065e6
AUS,I00054,Others-I00054-S,Others-I00054-S,69807.59375,228406.69289797364,3.608499637644197e6,3.3800929447462233e6
AUS,I00055,Others-I00055-S,Others-I00055-S,45194.24514007568,432757.1935603937,5.314295851052316e6,4.881538657491922e6
AUS,I00056,Others-I00056-S,Others-I00056-S,13640.0009765625,147473.59670566357,1.4210715108224743e6,1.2735979141168108e6
AUS,I00057,Others-I00057-S,Others-I00057-S,9612.921875,75992.9770318321,1.1880262339110947e6,1.1120332568792626e6
AUS,I00058,Others-I00058-S,Others-I00058-S,15399.7890625,237494.1659475585,1.5501659287955232e6,1.3126717628479647e6
AUS,I00059,Others-I00059-S,Others-I00059-S,76359.13259547949,40152.10650351452,1.4651991366258664e6,1.4250470301223518e6
AUS,I00060,Others-I00060-S,Others-I00060-S,34940.31640625,127278.2820533403,1.5545861526841405e6,1.4273078706308003e6
AUS,I00061,Others-I00061-S,Others-I00061-S,11356.2314453125,40593.73988303079,450440.75229869346,409847.0124156627
AUS,I00062,Others-I00062-S,Others-I00062-S,102004.9375,308025.2401951211,4.0002679932029056e6,3.6922427530077845e6
AUS,I00063,Others-I00063-S,Others-I00063-S,57459.56640625,243331.20140791035,2.2291217384145716e6,1.9857905370066613e6
AUS,I00064,Others-I00064-S,Others-I00064-S,22217.984375,131592.54830411822,1.0172700006372955e6,885677.4523331773
AUS,I00065,Others-I00065-S,Others-I00065-S,4.8131576e7,1.4496331166566826e7,2.8780609932636146e7,1.428427876606932e7
AUS,I00066,Others-I00066-S,Others-I00066-S,1.54668192e8,5.9496473901159175e7,9.94666684595297e7,3.997019455837052e7
AUS,I00067,003HSQ-E,003HSQ-E_Eastern Australia_I00067,51351.03125,3862.766978853202,13355.198539910938,9492.431561057736
AUS,I00067,003HSQ-E,003HSQ-E_Gladstone LNG_I00067,4412.384765625,331.91183015496136,1147.6147573279036,815.7029271729423
AUS,I00067,003HSQ-E,003HSQ-E_Western Australia and Northern Territory_I00067,27463.291015625,2065.865014395322,7142.802902365749,5076.937887970427
AUS,I00067,Others-I00067-S,Others-I00067-S,738698.1875,292789.9338807158,1.0175788628520971e6,724788.9289713814
AUS,I00068,Others-I00068-S,Others-I00068-S,1.3345287e7,1.6817641703070034e6,5.616660414796069e6,3.934896244489066e6
AUS,I00069,Others-I00069-S,Others-I00069-S,46276.37890625,14042.408458814474,2.525176672735891e6,2.5111342642770763e6
AUS,I00070,Others-I00070-S,Others-I00070-S,380128.6616857052,160777.30935201552,2.840682224032472e7,2.8246044930972707e7
AUS,I00071,0DHSZD-E,0DHSZD-E_Property Management and Construction_I00071,1477.7042236328125,465.9619730298987,23851.211913343508,23385.24994031361
AUS,I00071,Others-I00071-S,Others-I00071-S,220229.1236870885,300835.8730378128,1.5453160405777223e7,1.515232453273941e7
AUS,I00072,Others-I00072-S,Others-I00072-S,320051.76429748535,722614.5657767701,1.6590807031167354e7,1.5868192465390584e7
AUS,I00073,Others-I00073-S,Others-I00073-S,950500.125,573707.3790002521,5.993082927684815e7,5.93571218978479e7
AUS,I00074,Others-I00074-S,Others-I00074-S,468234.4318847656,2.1826161047163713e6,3.614685573574276e7,3.3964239631026395e7
AUS,I00075,Others-I00075-S,Others-I00075-S,4.6853745625e6,5.256416262184914e6,2.8147458867923956e7,2.2891042605739042e7
AUS,I00076,Others-I00076-S,Others-I00076-S,57422.546875,1.383805842645527e6,5.515766825938698e6,4.131960983293171e6
AUS,I00077,Others-I00077-S,Others-I00077-S,236209.78125,3.261837115836224e6,2.65755787838527e7,2.3313741668016475e7
AUS,I00078,Others-I00078-S,Others-I00078-S,3.7959696e7,375406.18337701116,1.5948959167713769e7,1.5573552984336758e7
AUS,I00079,Others-I00079-S,Others-I00079-S,1.016250375e6,932574.3387505924,5.003724427449295e6,4.071150088698703e6
AUS,I00080,Others-I00080-S,Others-I00080-S,4.05410425e6,13216.208208718032,2.7619464335645596e6,2.7487302253558417e6
AUS,I00081,Others-I00081-S,Others-I00081-S,2.095462e7,118767.50558264452,1.219559156242272e7,1.2076824056840077e7
AUS,I00082,Others-I00082-S,Others-I00082-S,199563.6875,109750.17642667479,3.7497874711779933e6,3.6400372947513186e6
AUS,I00083,Others-I00083-S,Others-I00083-S,4.3274148e7,1.5203082057267367e6,1.3615893231932146e7,1.209558502620541e7
AUS,I00084,Others-I00084-S,Others-I00084-S,45952.26272583008,143009.98643729754,1.6277362979222736e6,1.4847263114849762e6
AUS,I00085,Others-I00085-S,Others-I00085-S,29790.220703125,244687.3851222548,2.0013799942945582e6,1.7566926091723035e6
AUS,I00086,Others-I00086-S,Others-I00086-S,66358.17681884766,56715.42349097073,1.729700099332717e6,1.6729846758417464e6
AUS,I00087,Others-I00087-S,Others-I00087-S,62704.85794067383,165372.68518037535,1.678389081910479e6,1.5130163967301038e6
AUS,I00088,Others-I00088-S,Others-I00088-S,322044.90625,1.5212695860653778e6,1.1434872144568574e7,9.913602558503196e6
AUS,I00089,Others-I00089-S,Others-I00089-S,6335.93994140625,6706.021471836347,106638.49658610037,99932.47511426403
AUS,I00090,05FWGK-E,05FWGK-E_AMP Capital_I00090,10.488986015319824,952.7224777812138,9805.533030270317,8852.810552489103
AUS,I00090,05FWGK-E,05FWGK-E_Australian Mature_I00090,5.1467695236206055,990.0183847562852,10166.808394515912,9176.790009759627
AUS,I00090,05FWGK-E,05FWGK-E_Australian Wealth Management_I00090,45.4739875793457,3165.430105515105,32988.41117267668,29822.981067161574
AUS,I00090,05FWGK-E,05FWGK-E_Australian Wealth Protection_I00090,6.026280879974365,1234.1159982959973,12662.830374805608,11428.71437650961
AUS,I00090,05HWY4-E,05HWY4-E_Construction_I00090,940122.1875,75948.75958650006,806579.7098733895,730630.9502868894
AUS,I00090,05HWY4-E,05HWY4-E_Habtoor Leighton Group_I00090,3248.096435546875,262.34798738750476,2878.6439387243468,2616.295951336842
AUS,I00090,05HWY4-E,05HWY4-E_Mining & Mineral Processing_I00090,290795.4375,23492.144610770134,260195.3728483292,236703.22823755906
AUS,I00090,060D92-E,060D92-E_Funds Management_I00090,1024.9736328125,309.7760525159165,3193.2387728095982,2883.4627202936817
